,N/L,Flow,Pat,R_a
367,1.9,0.946574,1,3
368,1.91,0.952254,1,3
369,1.92,0.957452,1,3
370,1.93,0.961738,1,3
371,1.94,0.966858,1,3
372,1.95,0.842242,1,3
373,1.96,0.835548,1,3
374,1.97,0.979182,1,3
375,1.98,0.985832,1,3
376,1.99,0.84505,1,3
377,2.0,0.99377,1,3
378,2.01,0.99324,1,3
379,2.02,0.846098,1,3
380,2.03,0.851132,1,3
381,2.04,0.917534,1,3
382,2.05,0.959744,1,3
383,2.06,0.855766,1,3
384,2.07,0.919678,1,3
385,2.08,0.853294,1,3
386,2.09,0.852554,1,3
387,2.1,0.85342,1,3
388,2.11,0.857504,1,3
389,2.12,0.859362,1,3
390,2.13,0.99795,1,3
391,2.14,0.867624,1,3
392,2.15,0.936982,1,3
393,2.16,0.86215,1,3
394,2.17,0.864812,1,3
395,2.18,0.866988,1,3
396,2.19,0.995544,1,3
397,2.2,0.871048,1,3
398,2.21,0.87103,1,3
399,2.22,0.872104,1,3
400,2.23,0.874108,1,3
401,2.24,0.877008,1,3
402,2.25,0.87398,1,3
403,2.26,0.876188,1,3
404,2.27,0.878628,1,3
405,2.28,0.88091,1,3
406,2.29,0.881106,1,3
407,2.3,0.881502,1,3
408,1.8,0.898082,1,3
409,1.81,0.903126,1,3
410,1.82,0.90818,1,3
411,1.83,0.91261,1,3
412,1.84,0.918072,1,3
413,1.85,0.922768,1,3
414,1.86,0.928128,1,3
415,1.87,0.93128,1,3
416,1.88,0.937198,1,3
417,1.89,0.940798,1,3
418,1.9,0.946966,1,3
419,1.91,0.949988,1,3
420,1.92,0.955238,1,3
421,1.93,0.961446,1,3
422,1.94,0.966038,1,3
423,1.95,0.838458,1,3
424,1.96,0.971742,1,3
425,1.97,0.981672,1,3
426,1.98,0.842194,1,3
427,1.99,0.991312,1,3
428,2.0,0.844712,1,3
429,2.01,0.995368,1,3
430,2.02,0.995026,1,3
431,2.03,0.854386,1,3
432,2.04,0.852538,1,3
433,2.05,0.992892,1,3
434,2.06,0.851626,1,3
435,2.07,0.996124,1,3
436,2.08,0.850184,1,3
437,2.09,0.854314,1,3
438,2.1,0.852646,1,3
439,2.11,0.861298,1,3
440,2.12,0.937104,1,3
441,2.13,0.863024,1,3
442,2.14,0.860262,1,3
443,2.15,0.861324,1,3
444,2.16,0.862338,1,3
445,2.17,0.866526,1,3
446,2.18,0.871828,1,3
447,2.19,0.87108,1,3
448,2.2,0.993864,1,3
449,2.21,0.965294,1,3
450,2.22,0.872144,1,3
451,2.23,0.872716,1,3
452,2.24,0.875032,1,3
453,2.25,0.8769,1,3
454,2.26,0.879312,1,3
455,2.27,0.88301,1,3
456,2.28,0.885244,1,3
457,2.29,0.880352,1,3
458,2.3,0.88378,1,3
459,1.8,0.897848,1,3
460,1.81,0.902724,1,3
461,1.82,0.9075,1,3
462,1.83,0.912526,1,3
463,1.84,0.916598,1,3
464,1.85,0.920376,1,3
465,1.86,0.926564,1,3
466,1.87,0.932602,1,3
467,1.88,0.937924,1,3
468,1.89,0.931694,1,3
469,1.9,0.94674,1,3
470,1.91,0.95002,1,3
471,1.92,0.957068,1,3
472,1.93,0.957558,1,3
473,1.94,0.965422,1,3
474,1.95,0.969018,1,3
475,1.96,0.973946,1,3
476,1.97,0.896212,1,3
477,1.98,0.985188,1,3
478,1.99,0.990592,1,3
479,2.0,0.993466,1,3
480,2.01,0.991802,1,3
481,2.02,0.908996,1,3
482,2.03,0.994346,1,3
483,2.04,0.854386,1,3
484,2.05,0.916372,1,3
485,2.06,0.978744,1,3
486,2.07,0.997118,1,3
487,2.08,0.965284,1,3
488,2.09,0.858078,1,3
489,2.1,0.860202,1,3
490,2.11,0.995342,1,3
491,2.12,0.996168,1,3
492,2.13,0.857472,1,3
493,2.14,0.863904,1,3
494,2.15,0.861256,1,3
495,2.16,0.867678,1,3
496,2.17,0.942122,1,3
497,2.18,0.870114,1,3
498,2.19,0.86898,1,3
499,2.2,0.87413,1,3
500,2.21,0.87145,1,3
501,2.22,0.872506,1,3
502,2.23,0.874158,1,3
503,2.24,0.873726,1,3
504,2.25,0.876242,1,3
505,2.26,0.87812,1,3
506,2.27,0.879242,1,3
507,2.28,0.879192,1,3
508,2.29,0.881058,1,3
509,2.3,0.884546,1,3
