,N/L,Flow,Pat,R_a
304,2.29,0.84898,1,5
305,2.3,0.851566,1,5
306,1.8,0.897768,1,5
307,1.81,0.783422,1,5
308,1.82,0.785496,1,5
309,1.83,0.789086,1,5
310,1.84,0.780998,1,5
311,1.85,0.919724,1,5
312,1.86,0.926694,1,5
313,1.87,0.928672,1,5
314,1.88,0.802794,1,5
315,1.89,0.815246,1,5
316,1.9,0.792948,1,5
317,1.91,0.820288,1,5
318,1.92,0.937872,1,5
319,1.93,0.801094,1,5
320,1.94,0.803598,1,5
321,1.95,0.913098,1,5
322,1.96,0.805576,1,5
323,1.97,0.804988,1,5
324,1.98,0.812334,1,5
325,1.99,0.98083,1,5
326,2.0,0.977314,1,5
327,2.01,0.815622,1,5
328,2.02,0.816236,1,5
329,2.03,0.819228,1,5
330,2.04,0.817692,1,5
331,2.05,0.918742,1,5
332,2.06,0.812638,1,5
333,2.07,0.819524,1,5
334,2.08,0.937484,1,5
335,2.09,0.832806,1,5
336,2.1,0.839072,1,5
337,2.11,0.830524,1,5
338,2.12,0.82432,1,5
339,2.13,0.825302,1,5
340,2.14,0.950374,1,5
341,2.15,0.839736,1,5
342,2.16,0.944262,1,5
343,2.17,0.830372,1,5
344,2.18,0.844032,1,5
345,2.19,0.839914,1,5
346,2.2,0.844534,1,5
347,2.21,0.955512,1,5
348,2.22,0.851648,1,5
349,2.23,0.84177,1,5
350,2.24,0.842752,1,5
351,2.25,0.84583,1,5
352,2.26,0.85339,1,5
353,2.27,0.848492,1,5
354,2.28,0.85093,1,5
355,2.29,0.858682,1,5
356,2.3,0.858576,1,5
357,1.8,0.77328,1,5
358,1.81,0.774754,1,5
359,1.82,0.90624,1,5
360,1.83,0.789126,1,5
361,1.84,0.91797,1,5
362,1.85,0.912962,1,5
363,1.86,0.786428,1,5
364,1.87,0.932826,1,5
365,1.88,0.791568,1,5
366,1.89,0.942836,1,5
367,1.9,0.793854,1,5
368,1.91,0.940278,1,5
369,1.92,0.947688,1,5
370,1.93,0.799534,1,5
371,1.94,0.950732,1,5
372,1.95,0.970554,1,5
373,1.96,0.977098,1,5
374,1.97,0.965582,1,5
375,1.98,0.809412,1,5
376,1.99,0.81403,1,5
377,2.0,0.98538,1,5
