,N,L,Flow,Pat,r_a,speed
165,260,100,0.921106,1,3,0.1257554457413706
166,270,100,0.9338,1,3,0.13286962034232563
167,280,100,0.945464,1,3,0.12821772763341463
168,290,100,0.958776,1,3,0.1366057598139518
169,300,100,0.970942,1,3,0.1692918945101362
170,310,100,0.981266,1,3,0.11796317644995603
171,320,100,0.99242,1,3,0.19034244628091776
172,330,100,0.999638,1,3,3.0145832091997526
173,340,100,1.00053,1,3,0.010323010323010322
174,350,100,1.001022,1,3,0.010333333333333332
175,10,100,0.050004,1,3,0.0
176,20,100,0.099998,1,3,0.0
177,30,100,0.150022,1,3,0.0
178,40,100,0.199972,1,3,0.0
179,50,100,0.249946,1,3,0.0
180,60,100,0.299954,1,3,0.0
181,70,100,0.349878,1,3,0.0
182,80,100,0.399902,1,3,0.0
183,90,100,0.449834,1,3,0.0
184,100,100,0.499692,1,3,0.0
185,110,100,0.549594,1,3,0.0
186,120,100,0.59956,1,3,0.0
187,130,100,0.64943,1,3,0.0
188,140,100,0.699212,1,3,0.0
189,150,100,0.74932,1,3,0.0
190,160,100,0.799378,1,3,0.0
191,170,100,0.84793,1,3,0.0
192,180,100,0.897816,1,3,0.0
193,190,100,0.94704,1,3,0.0
194,200,100,0.994388,1,3,0.0
195,210,100,0.854884,1,3,0.13574465435034183
196,220,100,0.868338,1,3,0.12092674594304759
197,230,100,0.881734,1,3,0.13980735045505788
198,240,100,0.897782,1,3,0.13886738917515143
199,250,100,0.909638,1,3,0.11625544734766603
200,260,100,0.920312,1,3,0.13730887564972982
201,270,100,0.931416,1,3,0.1388006641845086
202,280,100,0.945748,1,3,0.1270503215129217
203,290,100,0.95678,1,3,0.1272722321137386
204,300,100,0.970414,1,3,0.1317484900055293
205,310,100,0.978224,1,3,0.13828748407885993
206,320,100,0.990536,1,3,0.2362025559908577
207,330,100,0.999242,1,3,8.778222457146997
208,340,100,1.00069,1,3,16.107776617954187
209,350,100,1.00051,1,3,37.500000000007184
210,10,100,0.050012,1,3,0.0
211,20,100,0.099974,1,3,0.0
212,30,100,0.149982,1,3,0.0
213,40,100,0.19995,1,3,0.0
214,50,100,0.24999,1,3,0.0
215,60,100,0.299956,1,3,0.0
