,N,L,Flow,Pat,r_a
273,200,100,0.990316,1,4
274,200,100,0.990316,1,4
275,200,100,0.990316,1,4
276,200,100,0.990316,1,4
277,200,100,0.990316,1,4
278,200,100,0.990316,1,4
279,200,100,0.990316,1,4
280,200,100,0.990316,1,4
281,200,100,0.990316,1,4
282,200,100,0.990316,1,4
283,200,100,0.990316,1,4
284,200,100,0.990316,1,4
285,200,100,0.990316,1,4
286,200,100,0.990316,1,4
287,200,100,0.990316,1,4
288,200,100,0.946156,1,4
289,200,100,0.946156,1,4
290,200,100,0.946156,1,4
291,200,100,0.946156,1,4
292,200,100,0.946156,1,4
293,200,100,0.946156,1,4
294,200,100,0.946156,1,4
295,200,100,0.946156,1,4
296,200,100,0.946156,1,4
297,200,100,0.946156,1,4
298,200,100,0.946156,1,4
299,200,100,0.946156,1,4
300,200,100,0.946156,1,4
301,200,100,0.946156,1,4
302,200,100,0.946156,1,4
303,200,100,0.946156,1,4
304,200,100,0.946156,1,4
305,200,100,0.946156,1,4
306,200,100,0.946156,1,4
307,200,100,0.946156,1,4
308,200,100,0.946156,1,4
309,200,100,0.946156,1,4
310,200,100,0.946156,1,4
311,200,100,0.946156,1,4
312,200,100,0.946156,1,4
313,200,100,0.946156,1,4
314,200,100,0.946156,1,4
315,200,100,0.946156,1,4
316,200,100,0.946156,1,4
317,200,100,0.946156,1,4
318,200,100,0.946156,1,4
319,200,100,0.946156,1,4
320,200,100,0.946156,1,4
321,200,100,0.946156,1,4
322,200,100,0.946156,1,4
323,200,100,0.946156,1,4
324,200,100,0.99555,1,4
325,200,100,0.99555,1,4
326,200,100,0.99555,1,4
327,200,100,0.99555,1,4
328,200,100,0.99555,1,4
329,200,100,0.99555,1,4
330,200,100,0.99555,1,4
331,200,100,0.99555,1,4
332,200,100,0.99555,1,4
333,200,100,0.99555,1,4
334,200,100,0.99555,1,4
335,200,100,0.99555,1,4
336,200,100,0.99555,1,4
337,200,100,0.99555,1,4
338,200,100,0.99555,1,4
339,200,100,0.99555,1,4
340,200,100,0.99555,1,4
341,200,100,0.99555,1,4
342,200,100,0.99555,1,4
343,200,100,0.99555,1,4
344,200,100,0.99555,1,4
345,200,100,0.99555,1,4
346,200,100,0.99555,1,4
347,200,100,0.99555,1,4
348,200,100,0.99555,1,4
349,200,100,0.99555,1,4
350,200,100,0.99555,1,4
351,200,100,0.99555,1,4
352,200,100,0.99555,1,4
353,200,100,0.99555,1,4
354,200,100,0.99555,1,4
355,200,100,0.99555,1,4
356,200,100,0.99555,1,4
357,200,100,0.99555,1,4
358,200,100,0.99555,1,4
359,200,100,0.99555,1,4
