,N,L,Max,Pat,R_A
427,270,100,0.91585,1,7
428,270,100,0.919324,1,8
429,270,100,0.924422,1,9
430,300,100,0.999708,1,0
431,300,100,0.975774,1,1
432,300,100,0.975164,1,2
433,300,100,0.968704,1,3
434,300,100,0.960172,1,4
435,300,100,0.95846,1,5
436,300,100,0.95645,1,6
437,300,100,0.95829,1,7
438,300,100,0.954808,1,8
439,300,100,0.952266,1,9
440,0,100,0.0,1,0
441,0,100,0.0,1,1
442,0,100,0.0,1,2
443,0,100,0.0,1,3
444,0,100,0.0,1,4
445,0,100,0.0,1,5
446,0,100,0.0,1,6
447,0,100,0.0,1,7
448,0,100,0.0,1,8
449,0,100,0.0,1,9
450,30,100,0.149948,1,0
451,30,100,0.14991,1,1
452,30,100,0.14992,1,2
453,30,100,0.14998,1,3
454,30,100,0.149852,1,4
455,30,100,0.149902,1,5
456,30,100,0.149854,1,6
457,30,100,0.149888,1,7
458,30,100,0.149824,1,8
459,30,100,0.14981,1,9
460,60,100,0.29989,1,0
461,60,100,0.29978,1,1
462,60,100,0.299876,1,2
463,60,100,0.299804,1,3
464,60,100,0.299658,1,4
465,60,100,0.299758,1,5
466,60,100,0.299646,1,6
467,60,100,0.299736,1,7
468,60,100,0.299594,1,8
469,60,100,0.278166,1,9
470,90,100,0.449542,1,0
471,90,100,0.449692,1,1
472,90,100,0.449612,1,2
473,90,100,0.449692,1,3
474,90,100,0.449506,1,4
475,90,100,0.449542,1,5
476,90,100,0.44946,1,6
477,90,100,0.449376,1,7
478,90,100,0.449226,1,8
479,90,100,0.377128,1,9
480,120,100,0.598864,1,0
481,120,100,0.599304,1,1
482,120,100,0.599444,1,2
483,120,100,0.599522,1,3
484,120,100,0.599266,1,4
485,120,100,0.599214,1,5
486,120,100,0.599152,1,6
487,120,100,0.599124,1,7
488,120,100,0.485826,1,8
489,120,100,0.478454,1,9
490,150,100,0.748236,1,0
491,150,100,0.74836,1,1
492,150,100,0.749178,1,2
493,150,100,0.748692,1,3
494,150,100,0.748794,1,4
495,150,100,0.74899,1,5
496,150,100,0.748466,1,6
497,150,100,0.748554,1,7
498,150,100,0.74764,1,8
499,150,100,0.573548,1,9
500,180,100,0.88206,1,0
501,180,100,0.895198,1,1
502,180,100,0.898294,1,2
503,180,100,0.89819,1,3
504,180,100,0.897574,1,4
505,180,100,0.896306,1,5
506,180,100,0.895866,1,6
507,180,100,0.765728,1,7
508,180,100,0.72405,1,8
509,180,100,0.672006,1,9
510,210,100,0.952446,1,0
