,N,L,Flow,Pat,r_a,speed
180,210,100,0.925404,1,3,0.22581952623799484
181,210,100,0.854352,1,3,0.14146767741603591
182,210,100,0.856502,1,3,0.12539333448117473
183,210,100,0.858002,1,3,0.1331677595849948
184,210,100,0.859866,1,3,0.13715105661697247
185,210,100,0.85318,1,3,0.1303900094849635
186,210,100,0.997162,1,3,0.0
187,210,100,0.99321,1,3,0.08235956280669604
188,210,100,0.967144,1,3,0.159079344903165
189,210,100,0.928606,1,3,0.22578514057762872
190,210,100,0.858608,1,3,0.13728247902657265
191,210,100,0.855546,1,3,0.12579803528921624
192,210,100,0.860742,1,3,0.13710899432005977
193,210,100,0.854134,1,3,0.13601332956863266
194,210,100,0.853658,1,3,0.12803139032366706
195,210,100,0.85508,1,3,0.12968786920478723
196,210,100,0.996,1,3,0.0
197,210,100,0.996956,1,3,0.0
198,210,100,0.854144,1,3,0.14306236923899757
199,210,100,0.96815,1,3,0.15905696920332402
200,210,100,0.854292,1,3,0.13951144001793267
201,210,100,0.857232,1,3,0.12633094171789566
202,210,100,0.855832,1,3,0.13204004978926032
203,210,100,0.854238,1,3,0.175159840809919
204,210,100,0.857656,1,3,0.14136869137844235
205,210,100,0.859188,1,3,0.1302730621807122
206,210,100,0.857408,1,3,0.14235169800298234
207,210,100,0.989596,1,3,0.10405082027877145
208,210,100,0.924438,1,3,0.22575094683971098
209,210,100,0.926038,1,3,0.22584977017288055
210,210,100,0.860224,1,3,0.14346896077533228
211,210,100,0.852686,1,3,0.13756094635462726
212,210,100,0.971848,1,3,0.13724555372380626
213,210,100,0.99734,1,3,0.0
214,210,100,0.861346,1,3,0.151155831874251
215,210,100,0.85277,1,3,0.13554424737106777
216,210,100,0.993874,1,3,0.10225311480394392
217,210,100,0.927514,1,3,0.2257945803885412
218,210,100,0.997838,1,3,0.5000000000001682
219,210,100,0.85664,1,3,0.13620952554640448
220,210,100,0.855906,1,3,0.13681118500455294
221,210,100,0.996044,1,3,0.0
222,210,100,0.85548,1,3,0.12545040179288364
223,210,100,0.856196,1,3,0.12579030252247625
224,210,100,0.856568,1,3,0.14406101240810862
