,0
669,0.8544
670,0.995488
671,0.968894
672,0.860016
673,0.966548
674,0.926376
675,0.855404
676,0.86441
677,0.853224
678,0.928228
679,0.85422
680,0.858774
681,0.938982
682,0.99731
683,0.866418
684,0.927332
685,0.85274
686,0.993684
687,0.85782
688,0.85843
689,0.927014
690,0.861432
691,0.96823
692,0.86007
693,0.85817
694,0.8616
695,0.85636
696,0.85386
697,0.969626
698,0.854996
699,0.997432
700,0.858726
701,0.855584
702,0.968754
703,0.854912
704,0.967968
705,0.99772
706,0.969098
707,0.854174
708,0.85377
709,0.926438
710,0.85634
711,0.860058
712,0.856292
713,0.853884
714,0.942732
715,0.925764
716,0.996412
717,0.97176
718,0.859808
719,0.855468
720,0.857558
721,0.997522
722,0.86146
723,0.864272
724,0.854178
725,0.862954
726,0.938356
727,0.857598
728,0.854732
729,0.860614
730,0.85571
731,0.926022
732,0.854326
733,0.995712
734,0.855832
735,0.85587
736,0.85666
737,0.85931
738,0.854064
739,0.8569
740,0.85444
741,0.854994
742,0.856954
743,0.85507
744,0.860546
745,0.856978
746,0.859924
747,0.85796
748,0.856088
749,0.859938
750,0.928462
751,0.959206
752,0.855042
753,0.968196
754,0.8563
755,0.99745
756,0.858194
757,0.997058
758,0.992808
759,0.858278
760,0.854128
761,0.85312
762,0.96936
763,0.852964
764,0.92551
765,0.85639
766,0.85824
767,0.858984
768,0.896138
769,0.860618
770,0.853408
771,0.863714
772,0.925808
773,0.926816
774,0.856046
775,0.8548
776,0.858716
777,0.85682
778,0.966932
779,0.9934
780,0.854084
781,0.854294
782,0.858394
783,0.855962
784,0.85432
785,0.96499
786,0.85219
787,0.992068
788,0.857488
789,0.993968
790,0.92639
791,0.857838
792,0.85924
793,0.925214
794,0.856666
795,0.997334
796,0.96896
797,0.937658
798,0.856406
799,0.92555
800,0.927554
801,0.854662
802,0.855456
803,0.969006
804,0.99673
805,0.92649
806,0.995798
807,0.85635
808,0.86083
809,0.858824
810,0.858276
811,0.926328
812,0.993024
813,0.858702
814,0.856902
815,0.996204
816,0.856494
817,0.992608
818,0.93121
819,0.92719
820,0.994664
821,0.85925
822,0.856326
823,0.925312
824,0.858926
825,0.926092
826,0.857708
827,0.991838
828,0.854028
829,0.991918
830,0.99609
831,0.861954
832,0.930102
833,0.997994
834,0.996674
835,0.984154
836,0.85719
837,0.927198
838,0.929328
839,0.85737
840,0.86062
841,0.857858
842,0.855738
843,0.857226
844,0.85596
845,0.926286
846,0.856418
847,0.855134
848,0.994652
849,0.858754
850,0.996208
851,0.968372
852,0.853862
853,0.857116
854,0.99275
855,0.85292
856,0.859258
857,0.856504
858,0.93842
859,0.97261
860,0.95326
861,0.968738
862,0.855312
863,0.858164
864,0.993302
865,0.860716
866,0.856082
867,0.969496
868,0.969128
869,0.925966
870,0.85758
871,0.865168
872,0.860914
873,0.997382
874,0.857432
875,0.92756
876,0.99682
877,0.854952
878,0.853336
879,0.85427
880,0.856136
881,0.860284
882,0.925414
883,0.860606
884,0.926784
885,0.858456
886,0.858364
887,0.997022
888,0.930328
889,0.863728
890,0.85705
891,0.854138
892,0.857658
893,0.968308
894,0.854464
895,0.854412
896,0.855718
897,0.99735
898,0.853426
899,0.927502
900,0.854908
901,0.931936
902,0.859512
903,0.85574
904,0.973588
905,0.854158
906,0.861506
907,0.99364
908,0.855478
909,0.997262
910,0.970538
911,0.996916
912,0.85937
913,0.925594
914,0.993534
915,0.853808
916,0.85436
917,0.854938
918,0.9773
919,0.853742
920,0.997832
921,0.857004
922,0.857054
923,0.85228
924,0.972516
925,0.997306
926,0.856392
927,0.858096
928,0.996658
929,0.86004
930,0.855536
931,0.928826
932,0.85432
933,0.931576
934,0.854088
935,0.853334
936,0.85544
937,0.856744
938,0.853262
939,0.92724
940,0.968746
941,0.857824
942,0.855466
943,0.857792
944,0.858678
945,0.997618
946,0.997808
947,0.856634
948,0.854322
949,0.857266
950,0.857398
951,0.99733
952,0.85448
953,0.856566
954,0.855838
955,0.857794
956,0.959776
957,0.859428
958,0.862334
959,0.86257
960,0.926982
961,0.867654
962,0.968958
963,0.858878
964,0.997116
965,0.967824
966,0.962302
967,0.856426
968,0.856478
969,0.979522
970,0.858584
971,0.928696
972,0.854844
973,0.855404
974,0.855408
975,0.969068
976,0.967382
977,0.8564
978,0.969114
979,0.978956
980,0.858558
981,0.852904
982,0.854762
983,0.92516
984,0.993964
985,0.85742
986,0.853396
987,0.86024
988,0.85824
989,0.856206
990,0.862164
991,0.854674
992,0.971454
993,0.861976
994,0.858184
995,0.854188
996,0.859732
997,0.855218
998,0.855362
999,0.925614
