,N,L,Flow,Pat,r_a,speed
386,209,100,0.856768,1,3,0.13468773317520133
387,210,100,0.853648,1,3,0.16472597958633814
388,211,100,0.856286,1,3,0.13634543378745503
389,212,100,0.860712,1,3,0.12653499194223344
390,213,100,0.973176,1,3,0.15905031494861985
391,214,100,0.870478,1,3,0.1703638411660604
392,215,100,0.861148,1,3,0.12635535736800993
393,216,100,0.99498,1,3,0.10338699283070049
394,217,100,0.88107,1,3,0.11723199640112585
395,218,100,0.864498,1,3,0.13693220059023112
396,219,100,0.868822,1,3,0.1511771449437038
397,220,100,0.869834,1,3,0.12359779454810883
398,221,100,0.875198,1,3,0.12751397908302758
399,222,100,0.874284,1,3,0.11992349019447122
400,223,100,0.87322,1,3,0.1325346481327619
401,224,100,0.875114,1,3,0.11982870812584517
402,225,100,0.87471,1,3,0.11870979845337946
403,226,100,0.978612,1,3,0.16669242609505713
404,227,100,0.878834,1,3,0.12433569286371739
405,228,100,0.877706,1,3,0.11225804023265001
406,229,100,0.883208,1,3,0.11519964952877124
407,230,100,0.884596,1,3,0.11790064186357516
408,180,100,0.896298,1,3,0.0
409,181,100,0.903054,1,3,0.0
410,182,100,0.908394,1,3,0.0
411,183,100,0.912924,1,3,0.0
412,184,100,0.918046,1,3,0.0
413,185,100,0.920686,1,3,0.0
414,186,100,0.927886,1,3,0.0
415,187,100,0.932762,1,3,0.0
416,188,100,0.937424,1,3,0.0
417,189,100,0.942896,1,3,0.0
418,190,100,0.9471,1,3,0.0
419,191,100,0.95065,1,3,0.0
420,192,100,0.956508,1,3,0.0
421,193,100,0.960876,1,3,0.0
422,194,100,0.966516,1,3,0.0
423,195,100,0.97143,1,3,0.0
424,196,100,0.975742,1,3,0.0
425,197,100,0.837998,1,3,0.1308252133890526
426,198,100,0.985488,1,3,0.0
427,199,100,0.989494,1,3,0.0
428,200,100,0.848812,1,3,0.11821147569780965
429,201,100,0.909138,1,3,0.22572650654154267
430,202,100,0.841818,1,3,0.14011881610255025
431,203,100,0.996,1,3,0.0
432,204,100,0.85267,1,3,0.10584214078840684
433,205,100,0.854026,1,3,0.14053539318940497
434,206,100,0.916494,1,3,0.2259153287880503
435,207,100,0.852538,1,3,0.1326252363327566
436,208,100,0.921996,1,3,0.225715851724845
437,209,100,0.987872,1,3,0.0
438,210,100,0.85946,1,3,0.13533797328386749
439,211,100,0.85799,1,3,0.14605557723979892
440,212,100,0.860638,1,3,0.1333382548937757
441,213,100,0.966844,1,3,0.1593805960124601
442,214,100,0.864126,1,3,0.1316377327698741
443,215,100,0.939008,1,3,0.22577266130087167
444,216,100,0.863618,1,3,0.13467860689253983
445,217,100,0.863994,1,3,0.13108733078458187
446,218,100,0.944676,1,3,0.47050858389596584
447,219,100,0.866914,1,3,0.1284000095624476
448,220,100,0.951458,1,3,0.19505902869376715
449,221,100,0.950734,1,3,0.225720456738884
450,222,100,0.871312,1,3,0.13060447918467818
451,223,100,0.976592,1,3,0.0
452,224,100,0.873606,1,3,0.12897892674214737
453,225,100,0.873524,1,3,0.13867299007019712
454,226,100,0.879738,1,3,0.1153209040591912
455,227,100,0.879672,1,3,0.14559987168855582
456,228,100,0.87921,1,3,0.1439011968511788
457,229,100,0.881132,1,3,0.1338769647890818
458,230,100,0.884708,1,3,0.11062604958473139
459,180,100,0.898196,1,3,0.0
460,181,100,0.901812,1,3,0.0
461,182,100,0.907436,1,3,0.0
462,183,100,0.912376,1,3,0.0
463,184,100,0.865892,1,3,0.2258812086252957
464,185,100,0.923156,1,3,0.0
465,186,100,0.927496,1,3,0.0
466,187,100,0.932548,1,3,0.0
467,188,100,0.937922,1,3,0.0
468,189,100,0.943262,1,3,0.0
469,190,100,0.94557,1,3,0.0
470,191,100,0.952358,1,3,0.0
471,192,100,0.956234,1,3,0.0
472,193,100,0.961014,1,3,0.0
473,194,100,0.966772,1,3,0.0
474,195,100,0.971214,1,3,0.0
475,196,100,0.976462,1,3,0.0
476,197,100,0.842948,1,3,0.13339771054186353
477,198,100,0.965166,1,3,0.0
478,199,100,0.985284,1,3,0.0
479,200,100,0.84556,1,3,0.13621984242913623
480,201,100,0.994388,1,3,0.0
481,202,100,0.845902,1,3,0.14343103463298504
482,203,100,0.951708,1,3,0.15908138535245142
483,204,100,0.995632,1,3,0.0
484,205,100,0.918006,1,3,0.22576778886297888
485,206,100,0.849078,1,3,0.1379482871346952
486,207,100,0.920286,1,3,0.22577766508801264
487,208,100,0.923722,1,3,0.2257434987357037
488,209,100,0.859666,1,3,0.14220494291817254
489,210,100,0.856796,1,3,0.12445824016811888
490,211,100,0.974356,1,3,0.13724829621732856
491,212,100,0.857538,1,3,0.13691369476642715
492,213,100,0.85825,1,3,0.14210756223309193
493,214,100,0.870138,1,3,0.17806626242923243
494,215,100,0.863966,1,3,0.13674644556083265
495,216,100,0.949606,1,3,0.1842080441033012
496,217,100,0.864482,1,3,0.1310623382776834
497,218,100,0.943438,1,3,0.225746559955753
498,219,100,0.868736,1,3,0.12050518567669699
499,220,100,0.870414,1,3,0.1269861447716975
500,221,100,0.871432,1,3,0.11153681825490216
501,222,100,0.872842,1,3,0.1311804316253392
502,223,100,0.875788,1,3,0.12826063982294456
503,224,100,0.875242,1,3,0.1346339050614138
504,225,100,0.876296,1,3,0.13036008891417983
505,226,100,0.878636,1,3,0.11654628532194786
506,227,100,0.878294,1,3,0.12335229243560336
507,228,100,0.885488,1,3,0.12265584807347554
508,229,100,0.880566,1,3,0.10695112854210681
509,230,100,0.882434,1,3,0.1368429809549758
